,x,y,t,PM10,SO2,NO2,O3,CO,z,dataset
1,116.2202,40.2915,0,50.0,1.0,16.0,35.0,0.4,35.0,train
2,116.4174,39.9289,0,110.0,3.0,52.0,9.0,0.8,91.0,train
4,116.462,39.9365,0,101.0,3.0,43.0,4.0,1.0,94.0,train
5,116.3392,39.9295,0,92.0,3.0,42.0,12.0,0.9,94.0,train
7,116.6636,40.135,0,97.0,4.0,48.0,8.0,0.7,48.0,train
8,116.6275,40.3275,0,58.0,1.0,18.0,35.0,0.6,42.0,train
9,116.2296,40.217,0,42.0,3.0,18.0,45.0,0.5,34.0,train
10,116.3966,39.9821,0,94.0,1.0,65.0,14.0,0.9,98.0,train
12,115.9718,40.4529,0,27.0,3.0,7.0,47.0,0.3,12.0,train
13,117.0709,40.1465,0,48.0,1.0,23.0,7.0,0.7,35.0,train
14,116.8336,40.4095,0,55.0,3.0,27.0,25.0,0.4,28.0,train
15,116.088,39.9726,0,184.0,1.0,53.0,1.0,0.9,92.0,test
16,116.1541,39.8204,0,114.0,3.0,42.0,21.0,0.9,101.0,train
18,115.9577,39.7603,0,104.0,1.0,32.0,33.0,0.9,97.0,train
19,116.4672,39.7733,0,73.0,3.0,25.0,4.0,0.7,69.0,test
20,115.986,40.4563,0,30.0,2.0,16.0,39.0,0.4,14.0,train
21,116.6151,40.3053,0,52.0,1.0,26.0,26.0,0.6,37.0,test
23,116.84,40.3844,0,62.0,5.0,43.0,11.0,0.6,38.0,train
25,116.2202,40.2915,1,44.0,1.0,16.0,37.0,0.4,32.0,train
26,116.4174,39.9289,1,119.0,3.0,55.0,5.0,0.8,96.0,train
29,116.3392,39.9295,1,100.0,4.0,56.0,2.0,0.9,94.0,test
31,116.6636,40.135,1,82.0,5.0,56.0,4.0,0.7,54.0,train
32,116.6275,40.3275,1,53.0,1.0,20.0,31.0,0.6,42.0,test
33,116.2296,40.217,1,46.0,3.0,17.0,43.0,0.5,36.0,train
34,116.3966,39.9821,1,106.0,1.0,67.0,10.0,0.9,100.0,train
36,115.9718,40.4529,1,29.0,3.0,13.0,36.0,0.3,15.0,train
37,117.0709,40.1465,1,45.0,3.0,20.0,8.0,0.7,36.0,train
38,116.8336,40.4095,1,67.0,3.0,40.0,14.0,0.5,38.0,train
39,116.088,39.9726,1,145.0,1.0,46.0,1.0,0.8,81.0,train
40,116.1541,39.8204,1,119.0,3.0,60.0,2.0,1.0,101.0,train
42,115.9577,39.7603,1,91.0,1.0,30.0,23.0,0.9,98.0,train
43,116.4672,39.7733,1,79.0,3.0,32.0,2.0,0.8,70.0,test
44,115.986,40.4563,1,30.0,2.0,36.0,11.0,0.4,16.0,train
45,116.6151,40.3053,1,57.0,1.0,20.0,27.0,0.6,38.0,train
49,116.2202,40.2915,2,51.0,1.0,17.0,34.0,0.4,42.0,train
50,116.4174,39.9289,2,112.0,3.0,58.0,2.0,0.8,95.0,train
