x,y,t,ELEV,DEWP,STP,TEMP
121.7,50.45,0,733.0,-27.83,935.7,-23.94
123.7166666,49.2,0,288.0,-19.06,988.6,-15.67
116.8166666,48.6833333,0,556.7,-25.44,960.0,-21.94
121.9166666,48.7666666,0,739.0,-26.78,934.1,-21.61
119.9333333,47.1666666,0,997.0,-31.06,905.9,-27.11
116.9666666,45.5166666,0,840.0,-25.83,928.8,-21.28
101.0666666,41.95,0,941.0,-19.28,917.1,-9.39
102.3666666,41.3666666,0,960.0,-18.06,999.9,-9.17
104.5,40.75,0,1329.0,-18.61,872.6,-9.22
112.0,43.65,0,966.0,-25.83,914.3,-17.0
114.15,44.6166666,0,1183.0,-25.78,999.9,-19.67
110.1333333,42.5333333,0,1223.0,-23.39,883.1,-12.28
115.0,44.0166666,0,1147.7,-24.11,891.4,-19.72
106.3833333,41.45,0,1510.0,-19.39,852.3,-12.56
112.9,42.4,0,1152.0,-25.0,891.6,-14.39
108.5166666,41.5666666,0,1290.0,-20.83,875.6,-9.89
110.4333333,41.7,0,1377.0,-22.28,999.9,-11.17
114.0,41.9,0,1484.0,-23.89,853.1,-13.78
111.824103,40.851422,0,1083.86,-19.39,890.6,-7.89
113.0666666,41.0333333,0,1416.0,-22.72,999.9,-9.72
105.75,39.7833333,0,1143.0,-18.39,906.1,-6.94
107.4,40.7666666,0,1041.0,-18.33,903.6,-7.39
107.9833333,39.1,0,1381.0,-18.11,865.0,-6.78
109.9833333,39.8333333,0,1459.0,-16.61,856.0,-6.22
117.6,44.5833333,0,997.0,-27.94,908.2,-24.06
120.9,44.5666666,0,266.0,-24.56,995.7,-13.5
119.4,43.9833333,0,485.0,-23.78,969.3,-13.67
116.1166666,43.95,0,1004.0,-26.22,908.6,-21.56
118.0333333,43.6333333,0,825.4,-26.39,999.9,-17.17
122.2666666,43.6,0,180.0,-23.89,1006.8,-13.83
116.4666666,42.1833333,0,1247.0,-24.11,879.9,-16.22
118.8333333,42.3,0,567.0,-23.06,948.3,-12.44
120.7,42.3333333,0,401.0,-23.94,979.8,-10.0
121.7,50.45,1,733.0,-30.44,939.1,-26.61
123.7166666,49.2,1,288.0,-22.28,992.4,-17.44
116.8166666,48.6833333,1,556.7,-22.39,964.8,-18.78
121.9166666,48.7666666,1,739.0,-24.28,937.9,-19.78
119.9333333,47.1666666,1,997.0,-26.83,910.0,-23.11
116.9666666,45.5166666,1,840.0,-24.0,934.4,-19.5
101.0666666,41.95,1,941.0,-21.0,924.3,-11.5
102.3666666,41.3666666,1,960.0,-21.5,999.9,-12.28
104.5,40.75,1,1329.0,-21.67,878.8,-12.78
112.0,43.65,1,966.0,-26.44,922.5,-19.39
114.15,44.6166666,1,1183.0,-26.28,999.9,-20.67
110.1333333,42.5333333,1,1223.0,-25.67,892.0,-16.89
115.0,44.0166666,1,1147.7,-25.11,898.3,-20.61
106.3833333,41.45,1,1510.0,-23.56,858.9,-15.67
112.9,42.4,1,1152.0,-25.39,900.3,-17.33
108.5166666,41.5666666,1,1290.0,-22.78,884.2,-13.94
110.4333333,41.7,1,1377.0,-25.39,999.9,-16.28
114.0,41.9,1,1484.0,-24.78,860.5,-18.06
111.824103,40.851422,1,1083.86,-22.17,898.6,-11.33
113.0666666,41.0333333,1,1416.0,-24.61,999.9,-14.78
